l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1,209,96,1,5.08,1747.49,0.01,0.05,A,F,1995-07-03,1995-08-25,1995-07-29,COLLECT COD,RAIL,pending regular express slyly special specia
1,80,85,2,25.79,868.57,0.09,0.06,N,F,1995-06-08,1995-07-04,1995-06-30,COLLECT COD,AIR,regular blithely quickly silent
1,167,91,3,46.96,3707.79,0.07,0.03,A,F,1995-07-26,1995-07-28,1995-08-11,DELIVER IN PERSON,FOB,regular blithely final
2,497,76,1,21.53,4280.82,0.06,0.04,A,F,1994-04-19,1994-05-21,1994-05-11,COLLECT COD,FOB,special carefully carefully carefully final 
2,392,22,2,30.97,1834.12,0.08,0.01,N,F,1994-04-28,1994-05-12,1994-05-08,COLLECT COD,AIR,unusual express regular blithely slyly
2,378,39,3,44.44,2938.72,0.06,0.04,N,F,1994-05-10,1994-05-29,1994-05-15,TAKE BACK RETURN,RAIL,furiously express slyly silent final special
3,58,53,1,23.64,1515.98,0.05,0.08,N,F,1998-09-18,1998-10-09,1998-10-01,DELIVER IN PERSON,RAIL,slyly silent express express slyly
3,86,85,2,32.36,4050.4,0.09,0.03,R,F,1998-09-07,1998-10-03,1998-10-04,COLLECT COD,RAIL,furiously special final silent
3,462,8,3,1.89,2767.38,0.03,0.07,R,F,1998-09-19,1998-10-29,1998-09-23,DELIVER IN PERSON,SHIP,silent unusual blithely special regular care
4,77,58,1,39.63,4584.47,0.0,0.02,A,F,1995-10-10,1995-10-18,1995-11-03,TAKE BACK RETURN,TRUCK,quickly slyly final unusual quickly furiousl
4,50,72,2,13.79,2870.13,0.08,0.08,A,F,1995-10-09,1995-11-19,1995-11-07,TAKE BACK RETURN,RAIL,special slyly quickly quickly blithely silen
4,450,83,3,40.38,253.03,0.06,0.02,R,F,1995-09-20,1995-11-21,1995-10-13,DELIVER IN PERSON,MAIL,furiously express furiously pending blithely
5,166,45,1,30.95,2237.32,0.05,0.03,R,F,1994-06-29,1994-08-19,1994-07-05,COLLECT COD,TRUCK,special unusual furiously blithely express s
5,158,62,2,45.14,1587.51,0.03,0.06,N,F,1994-06-25,1994-08-08,1994-07-03,TAKE BACK RETURN,AIR,pending slyly unusual unusual
5,4,63,3,41.69,4850.3,0.03,0.06,N,F,1994-06-15,1994-07-07,1994-06-21,DELIVER IN PERSON,TRUCK,unusual pending unusual pending quickly furi
6,346,42,1,28.15,937.75,0.06,0.02,R,F,1996-09-20,1996-10-29,1996-10-02,NONE,TRUCK,pending silent regular blithely regular spec
