o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
1,596,F,6323.85,1995-05-29,2-HIGH,Clerk#000000007,0,slyly unusual special pending blithely furiously pending furiously
2,801,F,9053.66,1994-03-30,5-LOW,Clerk#000000469,1,carefully express final blithely silent final special silent
3,243,F,8333.76,1998-08-27,5-LOW,Clerk#000000610,1,quickly carefully pending final furiously
4,45,O,7707.63,1995-08-27,4-NOT SPECIFIED,Clerk#000000496,1,final regular quickly final quickly pending furiously final
5,798,O,8675.13,1994-06-01,2-HIGH,Clerk#000000649,1,pending slyly silent silent unusual final
6,32,P,8438.3,1996-08-07,2-HIGH,Clerk#000000200,0,unusual special slyly carefully unusual blithely furiously
7,928,F,6638.26,1995-01-17,3-MEDIUM,Clerk#000000054,0,special special blithely final unusual special quickly slyly
8,989,O,10744.96,1996-10-26,3-MEDIUM,Clerk#000000948,1,slyly slyly unusual
9,130,O,9834.7,1998-07-27,4-NOT SPECIFIED,Clerk#000000021,0,silent slyly special
10,642,P,5727.32,1995-10-16,3-MEDIUM,Clerk#000000558,1,pending blithely express blithely pending final
11,2,F,9612.14,1997-04-30,2-HIGH,Clerk#000000503,0,express regular unusual
12,123,P,6437.07,1994-07-05,1-URGENT,Clerk#000000776,1,slyly slyly special express unusual
13,606,P,10075.54,1998-08-26,3-MEDIUM,Clerk#000000103,0,express furiously unusual silent
14,401,O,6923.25,1993-11-05,4-NOT SPECIFIED,Clerk#000000739,0,silent unusual furiously
15,149,O,9460.38,1993-05-08,2-HIGH,Clerk#000000778,1,quickly furiously pending final pending
16,945,O,8978.52,1997-06-16,1-URGENT,Clerk#000000175,1,quickly furiously carefully carefully slyly quickly express
17,162,P,7883.38,1997-10-19,1-URGENT,Clerk#000000230,1,express unusual carefully special special
18,888,O,12847.13,1994-11-13,5-LOW,Clerk#000000436,1,final special special blithely quickly
19,660,F,5828.93,1998-10-11,1-URGENT,Clerk#000000830,0,slyly quickly carefully pending pending unusual regular furiously
20,741,O,5276.69,1996-03-29,2-HIGH,Clerk#000000206,0,carefully furiously regular final pending blithely express
21,721,P,9067.86,1998-12-21,4-NOT SPECIFIED,Clerk#000000958,1,slyly furiously quickly express special furiously quickly quickly
22,821,P,4530.66,1997-08-02,3-MEDIUM,Clerk#000000659,0,pending carefully regular
23,55,P,4628.34,1995-03-13,1-URGENT,Clerk#000000208,0,furiously unusual blithely
24,141,O,1256.53,1993-07-22,4-NOT SPECIFIED,Clerk#000000614,0,unusual pending final regular silent silent slyly regular
25,448,O,10051.74,1994-09-26,5-LOW,Clerk#000000707,0,silent furiously furiously carefully
26,374,O,8795.91,1994-08-05,5-LOW,Clerk#000000398,1,carefully unusual carefully furiously quickly unusual
27,474,O,7945.8,1994-01-07,4-NOT SPECIFIED,Clerk#000000145,0,special pending regular special silent
28,224,F,5472.8,1994-05-17,5-LOW,Clerk#000000442,1,special quickly carefully slyly silent furiously furiously
29,851,O,7204.81,1995-08-16,3-MEDIUM,Clerk#000000667,1,blithely furiously pending pending slyly pending
30,828,O,10893.7,1997-03-04,4-NOT SPECIFIED,Clerk#000000164,1,regular unusual silent silent furiously special
31,3,F,4109.31,1997-06-17,4-NOT SPECIFIED,Clerk#000000767,1,slyly quickly special special special
32,302,P,5479.94,1994-02-28,2-HIGH,Clerk#000000404,0,regular special silent final carefully silent blithely
33,393,O,2477.24,1994-05-17,1-URGENT,Clerk#000000919,0,special blithely pending slyly unusual special blithely blithely
34,776,F,4787.55,1998-12-24,2-HIGH,Clerk#000000604,1,pending quickly furiously pending regular
35,662,F,6910.5,1996-04-02,1-URGENT,Clerk#000000093,0,unusual express express silent
36,861,O,3413.33,1993-02-16,1-URGENT,Clerk#000000486,1,final unusual silent furiously
37,336,O,6616.09,1993-02-12,3-MEDIUM,Clerk#000000103,1,furiously quickly regular
38,329,O,11810.87,1995-02-13,5-LOW,Clerk#000000618,0,silent unusual silent
39,42,P,9570.01,1995-12-09,4-NOT SPECIFIED,Clerk#000000666,1,express unusual final
40,331,O,6871.29,1997-10-21,1-URGENT,Clerk#000000865,1,pending slyly carefully special blithely silent slyly
41,713,P,10167.63,1993-11-15,5-LOW,Clerk#000000549,0,carefully unusual express
42,524,O,7814.8,1993-03-20,1-URGENT,Clerk#000000337,0,furiously slyly pending special
43,544,F,9155.09,1994-10-02,2-HIGH,Clerk#000000861,0,blithely regular blithely slyly
44,716,O,6191.38,1997-09-22,4-NOT SPECIFIED,Clerk#000000262,0,silent regular final furiously carefully furiously quickly slyly
45,605,P,8550.25,1996-01-20,5-LOW,Clerk#000000674,0,quickly blithely furiously silent unusual slyly carefully
46,864,P,11917.34,1997-06-26,5-LOW,Clerk#000000482,0,blithely silent blithely
47,264,F,8185.73,1997-04-21,1-URGENT,Clerk#000000728,0,unusual special unusual blithely express
48,941,O,9954.34,1997-07-16,5-LOW,Clerk#000000874,1,regular unusual blithely
49,392,O,10512.22,1996-11-22,4-NOT SPECIFIED,Clerk#000000788,0,carefully unusual final slyly silent carefully express furiously
50,400,P,3538.9,1993-03-28,4-NOT SPECIFIED,Clerk#000000103,0,silent silent silent final slyly
51,14,O,9441.63,1995-09-15,2-HIGH,Clerk#000000768,1,carefully express pending
52,43,P,6709.62,1998-06-15,1-URGENT,Clerk#000000639,1,pending furiously final
53,416,F,5408.4,1998-07-13,1-URGENT,Clerk#000000135,0,slyly special silent special final
54,331,P,6700.86,1995-03-27,5-LOW,Clerk#000000507,1,carefully regular silent special carefully special unusual unusual
55,1,F,6717.93,1998-05-13,1-URGENT,Clerk#000000434,0,slyly unusual express pending
56,54,F,10399.97,1996-05-01,2-HIGH,Clerk#000000388,0,blithely unusual silent express blithely
57,438,P,7116.28,1993-12-14,1-URGENT,Clerk#000000604,1,special express carefully blithely pending
58,60,F,9427.64,1997-09-04,3-MEDIUM,Clerk#000000674,1,final special carefully
59,261,P,9907.0,1995-03-30,4-NOT SPECIFIED,Clerk#000000442,1,special final regular
60,754,F,6226.48,1998-11-05,5-LOW,Clerk#000000229,0,slyly express special express silent blithely regular
61,320,P,9312.41,1993-09-29,2-HIGH,Clerk#000000042,0,silent regular regular
62,832,P,6851.44,1996-03-16,5-LOW,Clerk#000000946,0,silent pending slyly quickly slyly slyly
63,572,F,3599.5,1996-07-03,5-LOW,Clerk#000000310,1,furiously slyly blithely unusual slyly unusual express
64,448,F,9075.77,1998-09-28,3-MEDIUM,Clerk#000000623,1,unusual express regular
65,117,F,8571.63,1996-09-05,3-MEDIUM,Clerk#000000643,1,blithely carefully silent regular quickly blithely silent
66,378,O,7889.08,1994-08-06,3-MEDIUM,Clerk#000000658,0,unusual express final furiously
67,262,O,5205.02,1997-03-08,5-LOW,Clerk#000000209,1,express carefully pending slyly quickly silent
68,486,P,7420.58,1996-03-28,4-NOT SPECIFIED,Clerk#000000630,0,pending express slyly pending express
69,700,O,2483.92,1994-11-04,3-MEDIUM,Clerk#000000897,1,pending silent silent silent express slyly
70,444,O,9752.54,1995-08-15,4-NOT SPECIFIED,Clerk#000000548,1,blithely furiously special slyly
71,881,P,10861.14,1993-11-14,4-NOT SPECIFIED,Clerk#000000435,0,quickly silent pending quickly
72,769,O,9856.68,1996-02-13,4-NOT SPECIFIED,Clerk#000000652,1,quickly slyly express silent blithely final blithely slyly
73,398,F,5845.07,1996-12-30,4-NOT SPECIFIED,Clerk#000000946,0,pending regular pending regular blithely
74,588,O,5937.57,1997-09-10,2-HIGH,Clerk#000000121,0,furiously final unusual
75,805,F,3568.19,1996-05-04,5-LOW,Clerk#000000029,0,slyly unusual blithely carefully special slyly
76,988,O,4882.55,1995-03-09,1-URGENT,Clerk#000000898,0,express pending quickly unusual
