s_suppkey,s_name,s_address,s_nationkey,s_phone,s_acctbal,s_comment
1,Supplier#000000001,799 Commerce Ave,4,82-980-643-9602,-483.04,final unusual furiously silent final pending pending
2,Supplier#000000002,650 Commerce Ave,19,38-963-869-3491,4949.04,regular unusual special furiously final final silent
3,Supplier#000000003,432 Commerce Ave,15,69-429-239-5915,-996.1,carefully carefully unusual carefully blithely
4,Supplier#000000004,69 Commerce Ave,1,62-243-247-8879,8046.85,final pending regular blithely
5,Supplier#000000005,255 Commerce Ave,11,19-331-382-3300,8819.02,carefully blithely carefully
6,Supplier#000000006,211 Commerce Ave,14,28-788-382-6365,-881.53,silent silent slyly
7,Supplier#000000007,613 Commerce Ave,15,39-776-548-5895,8044.64,carefully regular special furiously quickly final express
8,Supplier#000000008,42 Commerce Ave,12,42-215-741-8643,3685.02,quickly carefully slyly slyly
9,Supplier#000000009,231 Commerce Ave,16,23-190-849-6940,1654.22,regular carefully regular special pending slyly quickly carefully
10,Supplier#000000010,927 Commerce Ave,8,91-620-436-7875,6336.76,furiously special pending slyly unusual
11,Supplier#000000011,507 Commerce Ave,7,85-544-781-5354,143.63,regular blithely silent blithely quickly carefully special pending
12,Supplier#000000012,859 Commerce Ave,20,22-689-197-2924,9634.02,final carefully quickly regular
13,Supplier#000000013,404 Commerce Ave,22,15-455-762-8212,8374.56,quickly special final slyly carefully regular quickly
14,Supplier#000000014,222 Commerce Ave,18,33-124-745-6389,86.85,slyly carefully quickly express slyly final
15,Supplier#000000015,997 Commerce Ave,7,45-556-902-1783,2569.64,furiously express slyly unusual slyly silent express final
16,Supplier#000000016,357 Commerce Ave,24,32-964-611-2456,2671.4,silent slyly furiously express express quickly pending
17,Supplier#000000017,416 Commerce Ave,10,89-609-754-4050,7322.2,express carefully final slyly
18,Supplier#000000018,918 Commerce Ave,11,30-272-430-1260,226.29,express silent blithely express silent unusual blithely
19,Supplier#000000019,78 Commerce Ave,6,21-192-828-7629,8374.29,carefully silent final furiously
20,Supplier#000000020,107 Commerce Ave,23,47-728-683-2346,2562.2,regular special silent carefully
21,Supplier#000000021,281 Commerce Ave,0,73-329-953-4587,1698.87,regular slyly pending express
